concat,constName,stateName,winner,winParty,Winvotes,Votesharewinner,Runner,runParty,Runvotes,Votesharerunner,Marginabs,absMarginText,marginPC
S06_25,Navsari,Gujarat,C.R. Patil,BJP,972739,74.37,Patel Dharmeshbhai Bhimbhai,INC,283071,21.64,689668,6.9L,52.73
S07_5,Karnal,Haryana,Sanjay Bhatia,BJP,911594,70.08,Kuldip Sharma,INC,255452,19.64,656142,6.56L,50.44
S07_10,Faridabad,Haryana,Krishan Pal,BJP,913222,68.8,Avtar Singh Bhadana,INC,274983,20.72,638239,6.38L,48.08
S20_23,Bhilwara,Rajasthan,Subhash Chandra Baheria,BJP,938160,71.59,Ram Pal Sharma,INC,326160,24.89,612000,6.12L,46.7
S06_20,Vadodara,Gujarat,Ranjanben Bhatt,BJP,883719,72.3,Prashant Patel (Tiko),INC,294542,24.1,589177,5.89L,48.2
U05_6,West Delhi,Nct Of Delhi,Parvesh Sahib Singh Verma,BJP,865648,60.05,Mahabal Mishra,INC,287162,19.92,578486,5.78L,40.13
S20_21,Chittorgarh,Rajasthan,Chandra Prakash Joshi,BJP,982942,67.38,Gopal Singh Shekhawat,INC,406695,27.88,576247,5.76L,39.5
S06_6,Gandhinagar,Gujarat,Amit Shah,BJP,894624,69.67,Dr. C. J. Chavda,INC,337610,26.29,557014,5.57L,43.38
U05_5,North West Delhi,Nct Of Delhi,Hans Raj Hans,BJP,848663,60.49,Gugan Singh,Aam Aadmi Party,294766,21.01,553897,5.54L,39.48
S12_17,Hoshangabad,Madhya Pradesh,Uday Pratap Singh,BJP,877927,69.35,Shailendra Diwan Chandarbhan Singh,INC,324245,25.61,553682,5.54L,43.74
S20_22,Rajsamand,Rajasthan,Diya Kumari,BJP,863039,69.61,Devkinandan (Kaka),INC,311123,25.09,551916,5.52L,44.52
S06_24,Surat,Gujarat,Darshana Vikram Jardosh,BJP,795651,74.47,Ashok Patel (Adhevada),INC,247421,23.16,548230,5.48L,51.31
S12_26,Indore,Madhya Pradesh,Shankar Lalwani,BJP,1068569,65.59,Pankaj Sanghvi,INC,520815,31.97,547754,5.48L,33.62
S22_22,Dindigul,Tamil Nadu,Velusamy P. ,Dravida Munnetra Kazhagam,746523,64.35,"Jothimuthu, K.",Pattali Makkal Katchi,207551,17.89,538972,5.39L,46.46
S22_5,Sriperumbudur,Tamil Nadu,Baalu T.R. ,Dravida Munnetra Kazhagam,793281,56.39,Vaithilingam A,Pattali Makkal Katchi,285326,20.28,507955,5.08L,36.11
S12_18,Vidisha,Madhya Pradesh,Ramakant Bhargava,BJP,853022,68.23,Shailendra Rameshchandra Patel,INC,349938,27.99,503084,5.03L,40.24
S24_12,Ghaziabad,Uttar Pradesh,Vijay Kumar Singh,BJP,944503,61.96,Suresh Bansal,Samajwadi Party,443003,29.06,501500,5.02L,32.9
S24_19,Fatehpur Sikri,Uttar Pradesh,Rajkumar Chahar,BJP,667147,64.32,Raj Babbar,INC,172082,16.59,495065,4.95L,47.73
S12_8,Khajuraho,Madhya Pradesh,V.D. Sharma (Vishnu Datt Sharma),BJP,811135,64.49,Maharani Kavita Singh Natiraja,INC,318753,25.34,492382,4.92L,39.15
S27_7,Dhanbad,Jharkhand,Pashupati Nath Singh,BJP,827234,66.03,Kirti Azad,INC,341040,27.22,486194,4.86L,38.81
S20_15,Pali,Rajasthan,P.P. Chaudhary,BJP,900149,66.2,Badriram Jakhar,INC,418552,30.78,481597,4.82L,35.42
S10_12,Uttara Kannada,Karnataka,Anantkumar Hegde,BJP,786042,68.15,Anand Asnotikar,Janata Dal  (Secular),306393,26.56,479649,4.8L,41.59
S27_14,Hazaribagh,Jharkhand,Jayant Sinha,BJP,728798,67.42,Gopal Prasad Sahu,INC,249250,23.06,479548,4.8L,44.36
S24_77,Varanasi,Uttar Pradesh,Narendra Modi,BJP,674664,63.62,Shalini Yadav,Samajwadi Party,195159,18.4,479505,4.8L,45.22
S08_1,Kangra,Himachal Pradesh,Kishan Kapoor,BJP,725218,72.02,Pawan Kajal,INC,247595,24.59,477623,4.78L,47.43
S27_13,Palamau,Jharkhand,Vishnu Dayal Ram,BJP,755659,62.46,Ghuran Ram,Rashtriya Janata Dal,278053,22.98,477606,4.78L,39.48
S13_26,Mumbai North,Maharashtra,Gopal Shetty,BJP,706678,71.4,Urmila Matondkar,INC,241431,24.39,465247,4.65L,47.01
S22_2,Chennai North,Tamil Nadu,Dr. Kalanidhi Veeraswamy,Dravida Munnetra Kazhagam,590986,61.85,Alagaapuram R. Mohanraj,Desiya Murpokku Dravida Kazhagam,129468,13.55,461518,4.62L,48.3
S22_24,Tiruchirappalli,Tamil Nadu,Thirunavukkarasar. Su,INC,621285,59.28,Dr.elangovan. V,Desiya Murpokku Dravida Kazhagam,161999,15.46,459286,4.59L,43.82
S27_5,Kodarma,Jharkhand,Annpurna Devi,BJP,753016,62.26,Babu Lal Marandi,Jharkhand Vikas Morcha (Prajatantrik),297416,24.59,455600,4.56L,37.67
S04_6,Madhubani,Bihar,Ashok Kumar Yadav,BJP,595843,61.83,Badri Kumar Purbey,Vikassheel Insaan Party,140903,14.62,454940,4.55L,47.21
S12_13,Jabalpur,Madhya Pradesh,Rakesh Singh,BJP,826454,65.41,Pt. Vivek Krishna Tankha,INC,371710,29.42,454744,4.55L,35.99
S20_25,Jhalawar-baran,Rajasthan,Dushyant Singh,BJP,887400,64.78,Pramod Sharma,INC,433472,31.64,453928,4.54L,33.14
S07_8,Bhiwani-mahendragarh,Haryana,Dharambir Singh,BJP,736699,63.45,Shruti Choudhry,INC,292236,25.17,444463,4.44L,38.28
S20_19,Udaipur,Rajasthan,Arjunlal Meena,BJP,871548,59.92,Raghuvir Singh Meena,INC,433634,29.81,437914,4.38L,30.11
S06_7,Ahmedabad East,Gujarat,Patel Hasmukhbhai Somabhai,BJP,749834,67.17,Gitaben Patel,INC,315504,28.26,434330,4.34L,38.91
S11_4,Wayanad,Kerala,Rahul Gandhi,INC,706367,64.67,P.p. Suneer,Communist Party Of India,274597,25.14,431770,4.32L,39.53
S12_20,Rajgarh,Madhya Pradesh,Rodmal Nagar,BJP,823824,65.37,Mona Sustani,INC,392805,31.17,431019,4.31L,34.2
S20_7,Jaipur,Rajasthan,Ramcharan Bohra,BJP,924065,63.45,Jyoti Khandelwal,INC,493439,33.88,430626,4.31L,29.57
S06_18,Panchmahal,Gujarat,Ratansinh Magansinh Rathod,BJP,732136,67.56,Khant Vechatbhai Kuberbhai,INC,303595,28.02,428541,4.29L,39.54
S04_24,Begusarai,Bihar,Giriraj Singh,BJP,692193,56.48,Kanhaiya Kumar,Communist Party Of India,269976,22.03,422217,4.22L,34.45
S22_23,Karur,Tamil Nadu,Jothimani S.,INC,695697,63.06,Thambidurai M,All India Anna Dravida Munnetra Kazhagam,275151,24.94,420546,4.21L,38.12
S20_13,Ajmer,Rajasthan,Bhagirath Chaudhary,BJP,815076,64.58,Riju Jhunjhunwala,INC,398652,31.58,416424,4.16L,33
S25_4,Darjeeling,West Bengal,Raju Bista,BJP,750067,59.19,Amar Singh Rai,All India Trinamool Congress,336624,26.56,413443,4.13L,32.63
S13_25,Thane,Maharashtra,Rajan Baburao Vichare,Shivsena,740969,63.3,Anand Prakash Paranjpe,Nationalist Congress Party,328824,28.09,412145,4.12L,35.21
S13_3,Jalgaon,Maharashtra,Unmesh Bhaiyyasaheb Patil,BJP,713874,65.6,Gulabrao Baburao Deokar,Nationalist Congress Party,302257,27.77,411617,4.12L,37.83
S04_15,Muzaffarpur,Bihar,Ajay Nishad,BJP,666878,63.03,Raj Bhushan Choudhary,Vikassheel Insaan Party,256890,24.28,409988,4.1L,38.75
S20_1,Ganganagar,Rajasthan,Nihal Chand,BJP,897177,61.8,Bharat Ram Meghwal,INC,490199,33.77,406978,4.07L,28.03
S08_2,Mandi,Himachal Pradesh,Ram Swaroop Sharma,BJP,647189,68.75,Aashray Sharma,INC,241730,25.68,405459,4.05L,43.07
S22_25,Perambalur,Tamil Nadu,Dr. Paarivendhar T.R.,Dravida Munnetra Kazhagam,683697,62,"Sivapathy, N.r",All India Anna Dravida Munnetra Kazhagam,280179,25.41,403518,4.04L,36.59
S12_12,Shahdol,Madhya Pradesh,Himadri Singh,BJP,747977,60.43,Pramila Singh,INC,344644,27.84,403333,4.03L,32.59
S24_33,Unnao,Uttar Pradesh,Swami Sakshi Ji Maharaj,BJP,703507,56.87,Arun Shanker Shukla,Samajwadi Party,302551,24.46,400956,4.01L,32.41
S22_14,Kallakurichi,Tamil Nadu,Gautham Sigamani Pon,Dravida Munnetra Kazhagam,721713,59.92,Sudhish L K,Desiya Murpokku Dravida Kazhagam,321794,26.72,399919,4L,33.2
S08_3,Hamirpur,Himachal Pradesh,Anurag Singh Thakur,BJP,682692,69.04,Ram Lal Thakur,INC,283120,28.63,399572,4L,40.41
S20_6,Jaipur Rural,Rajasthan,Col. Rajyavardhan Rathore,BJP,820132,64.24,Krishna Poonia,INC,426961,33.44,393171,3.93L,30.8
S26_7,Durg,Chhattisgarh,Vijay Baghel,BJP,849374,61.02,Pratima Chandrakar,INC,457396,32.86,391978,3.92L,28.16
S10_2,Belgaum,Karnataka,Angadi Suresh Channabasappa,BJP,761991,63.22,Dr.sadhunavar,INC,370687,30.76,391304,3.91L,32.46
U05_3,East Delhi,Nct Of Delhi,Gautam Gambhir,BJP,696156,55.35,Arvinder Singh Lovely,INC,304934,24.24,391222,3.91L,31.11
S07_9,Gurgaon,Haryana,Rao Inderjit Singh,BJP,881546,60.94,Capt. Ajay Singh,INC,495290,34.24,386256,3.86L,26.7
S07_2,Kurukshetra,Haryana,Nayab Singh,BJP,688629,55.98,Nirmal Singh,INC,304038,24.71,384591,3.85L,31.27
S01_21,Kadapa,Andhra Pradesh,Y.S. Avinash Reddy,Yuvajana Sramika Rythu Congress Party,783799,63.8,Chadipirala Adi Narayana Reddy,Telugu Desam,402823,32.79,380976,3.81L,31.01
S06_21,Chhota Udaipur,Gujarat,Rathva Gitaben Vajesingbhai,BJP,764445,62.03,Rathava Ranjitsinh Mohansinh,INC,386502,31.36,377943,3.78L,30.67
S27_4,Chatra,Jharkhand,Sunil Kumar Singh,BJP,528077,57.03,Manoj Kumar Yadav,INC,150206,16.22,377871,3.78L,40.81
S12_23,Mandsour,Madhya Pradesh,Sudheer Gupta,BJP,847786,61.85,Meenakshi Natarajan,INC,471052,34.37,376734,3.77L,27.48
S12_21,Dewas,Madhya Pradesh,Mahendra Singh Solanky,BJP,862429,61.65,Prahlad Singh Tipanya,INC,490180,35.04,372249,3.72L,26.61
S06_10,Rajkot,Gujarat,Kundaria Mohanbhai Kalyanjibhai,BJP,758645,63.47,Kagathara Lalitbhai,INC,390238,32.65,368407,3.68L,30.82
S06_2,Banaskantha,Gujarat,Parbatbhai Savabhai Patel,BJP,679108,61.62,Parthibhai Galbabhai Bhatol,INC,310812,28.2,368296,3.68L,33.42
S22_30,Thanjavur,Tamil Nadu,Palanimanickam S.S. ,Dravida Munnetra Kazhagam,588978,55.6,"Natarajan,n.r .",Tamil Maanila Congress  (Moopanar),220849,20.85,368129,3.68L,34.75
S06_17,Kheda,Gujarat,Chauhan Devusinh,BJP,714572,65.04,Bimal Shah,INC,347427,31.62,367145,3.67L,33.42
U05_7,South Delhi,Nct Of Delhi,Ramesh Bidhuri,BJP,687014,56.58,Raghav Chadha,Aam Aadmi Party,319971,26.35,367043,3.67L,30.23
U05_2,North East Delhi,Nct Of Delhi,Manoj Tiwari,BJP,787799,53.9,Sheila Dikshit,INC,421697,28.85,366102,3.66L,25.05
S24_46,Jhansi,Uttar Pradesh,Anurag Sharma,BJP,809272,58.61,Shyam Sundar Singh,Samajwadi Party,443589,32.12,365683,3.66L,26.49
S12_22,Ujjain,Madhya Pradesh,Anil Firojiya,BJP,791663,63.21,Babulal Malviya,INC,426026,34.01,365637,3.66L,29.2
S12_19,Bhopal,Madhya Pradesh,Sadhvi Pragya Singh Thakur,BJP,866482,61.54,Digvijaya Singh,INC,501660,35.63,364822,3.65L,25.91
S03_13,Dibrugarh,Assam,Rameswar Teli,BJP,659583,64.94,Paban Singh Ghatowar,INC,295017,29.04,364566,3.65L,35.9
S12_29,Betul,Madhya Pradesh,Durga Das Uikey,BJP,811248,59.74,Ramu Tekam (Advocate),INC,451007,33.21,360241,3.6L,26.53
S09_5,Udhampur,Jammu & Kashmir,Dr. Jitendra Singh,BJP,724311,61.38,Vikramaditya Singh,INC,367059,31.1,357252,3.57L,30.28
S22_1,Thiruvallur,Tamil Nadu,Dr. K. Jayakumar,INC,767292,54.49,Dr.p.venugopal,All India Anna Dravida Munnetra Kazhagam,410337,29.14,356955,3.57L,25.35
S04_1,Valmiki Nagar,Bihar,Baidyanath Prasad Mahto,Janata Dal  (United),602660,58.39,Shashwat Kedar,INC,248044,24.03,354616,3.55L,34.36
S06_26,Valsad,Gujarat,Dr. K.C. Patel,BJP,771980,61.25,Chaudhari Jitubhai Harjibhai,INC,418183,33.18,353797,3.54L,28.07
S12_7,Damoh,Madhya Pradesh,Prahalad Singh Patel,BJP,704524,60.51,Pratap Singh,INC,351113,30.16,353411,3.53L,30.35
S03_14,Lakhimpur,Assam,Pradan Baruah,BJP,776406,60.49,Anil Borgohain,INC,425855,33.18,350551,3.51L,27.31
